,Suburb,Latitude,Longitude
417,MOSMAN,-33.8301355,151.2447663
418,MOUNT ANNAN,-34.0628307,150.7576322
419,MOUNT COLAH,-33.6719686,151.1145291
420,MOUNT DRUITT,-33.7705556,150.8205556
421,MOUNT KURING-GAI,-33.636150286671665,151.12177335742112
422,MOUNT LEWIS,-33.9156089,151.0499433
423,MOUNT PRITCHARD,-33.9027189,150.9031488
424,MOUNT VERNON,-33.8566667,150.8094444
425,MULGOA,-33.8371562,150.6504013
426,MULGRAVE,45.6063041,-61.3893897
427,NARELLAN,-34.0419063,150.7376955
428,NARELLAN VALE,-34.0524175,150.7446725
429,NAREMBURN,-33.8171309,151.2020304
430,NARRABEEN,-33.7135699,151.2978164
431,NARRAWEENA,-33.7502066,151.2741566
432,NARWEE,-33.9475765,151.0702555
433,NELSON,-33.6478291,150.9213361
434,NEUTRAL BAY,-33.8342887,151.2182049
435,NEWINGTON,-33.8342301,151.0558716
436,NEWPORT,39.2584084,-81.5612357
437,NEWTOWN,52.4114239,0.7416979
438,NORMANHURST,-33.7238649,151.0977351
439,NORTH BALGOWLAH,-33.7881457,151.2507285
440,NORTH BONDI,-33.882351,151.2768611
441,NORTH CURL CURL,-33.7630002,151.2904773
442,NORTH EPPING,-33.7586111,151.0941667
443,NORTH KELLYVILLE,-33.6859488,150.9535842
444,NORTH MANLY,-33.7729035,151.2707221
445,NORTH NARRABEEN,-33.70098,151.2936426
446,NORTH PARRAMATTA,-33.7952747,151.0116649
447,NORTH ROCKS,-33.7713052,151.020996
448,NORTH RYDE,-33.79436115,151.13827817002567
449,NORTH ST MARYS,-33.7544444,150.7858333
450,NORTH STRATHFIELD,-33.8588178,151.088578
451,NORTH SYDNEY,-33.8354519,151.2083011
452,NORTH TURRAMURRA,-33.6911595,151.1519372
453,NORTH WAHROONGA,-33.7024148,151.1283034
454,NORTH WILLOUGHBY,-33.7941912,151.2004163
455,NORTHBRIDGE,42.1324443,-71.6498211
456,NORTHMEAD,-33.7844423,150.9983289
457,NORTHWOOD,53.4197866,-1.5185977
458,NORWEST,-33.733048,150.964298
459,OAKHURST,-33.7372222,150.8347222
460,OAKVILLE,43.447436,-79.666672
461,OATLANDS,-33.7973385,151.0256526
462,OATLEY,-33.9841882,151.0743856
463,OLD GUILDFORD,-33.8636111,150.9844444
464,OLD TOONGABBIE,-33.7858548,150.9699533
465,ORAN PARK,-33.9948805,150.7402568
466,ORCHARD HILLS,-33.7816667,150.7177778
467,OTFORD,51.31091645,0.18667083121820838
468,OXFORD FALLS,-33.7371005,151.2438186
469,OXLEY PARK,-33.7705556,150.795
470,OYSTER BAY,40.865819,-73.5320304
471,PADDINGTON,-33.8841572,151.2272766
472,PADSTOW,-33.9487767,151.030116
